student_id,attendance,homework_score,exam_score,participation,final_result
1,73,92,95,24,Pass
2,98,87,31,62,Pass
3,79,89,73,57,Pass
4,70,96,34,40,Fail
5,93,57,58,42,Pass
6,72,75,83,75,Pass
7,75,93,78,79,Pass
8,82,77,35,98,Pass
9,56,64,60,33,Fail
10,79,78,65,47,Pass
11,69,40,86,94,Pass
12,94,49,50,99,Pass
13,97,44,95,47,Pass
14,89,52,57,45,Pass
15,100,92,96,27,Pass
16,61,48,64,83,Pass
17,91,42,88,44,Pass
18,63,68,47,88,Pass
19,60,74,95,48,Pass
20,65,53,55,38,Fail
21,93,89,35,32,Pass
22,52,91,49,97,Pass
23,74,66,82,100,Pass
24,77,98,91,41,Pass
25,59,99,69,75,Pass
26,97,77,63,25,Pass
27,74,51,67,47,Pass
28,86,53,66,30,Pass
29,82,44,64,78,Pass
30,93,48,90,38,Pass
31,51,76,94,99,Pass
32,74,51,39,86,Fail
33,59,84,88,58,Pass
34,95,44,59,42,Pass
35,67,48,70,77,Pass
36,77,76,68,89,Pass
37,99,96,85,86,Pass
38,63,87,57,61,Pass
39,63,61,55,89,Pass
40,50,69,46,84,Fail
41,56,86,76,23,Pass
42,69,81,88,74,Pass
43,60,84,50,87,Pass
44,69,41,69,60,Pass
45,74,77,99,81,Pass
46,66,52,32,20,Fail
47,95,48,31,77,Fail
48,53,42,100,51,Pass
49,51,68,89,67,Pass
50,70,75,70,53,Pass
51,96,76,78,36,Pass
52,79,69,97,87,Pass
53,74,69,59,49,Pass
54,87,41,89,28,Pass
55,77,75,84,43,Pass
56,97,50,70,39,Pass
57,100,85,51,64,Pass
58,87,90,72,23,Pass
59,54,40,74,32,Fail
60,57,65,73,41,Pass
61,73,66,79,86,Pass
62,66,68,40,80,Fail
63,62,94,66,43,Pass
64,90,79,54,50,Pass
65,63,55,74,80,Pass
66,84,55,32,55,Fail
67,72,90,93,86,Pass
68,71,68,48,100,Pass
69,89,100,88,97,Pass
70,61,87,45,31,Fail
71,95,48,37,59,Fail
72,61,47,97,66,Pass
73,97,80,81,56,Pass
74,88,96,39,91,Pass
75,67,74,79,96,Pass
76,98,66,31,53,Pass
77,75,55,31,59,Fail
78,67,41,42,50,Fail
79,81,84,66,67,Pass
80,53,98,50,72,Pass
81,76,55,39,32,Fail
82,86,84,43,20,Pass
83,51,42,38,85,Fail
84,67,68,34,98,Fail
85,65,86,82,31,Pass
86,91,95,76,72,Pass
87,79,77,100,39,Pass
88,100,74,92,60,Pass
89,87,76,59,25,Pass
90,76,84,31,96,Pass
91,90,94,42,30,Pass
92,84,74,55,20,Pass
93,59,59,59,74,Pass
94,68,99,50,68,Pass
95,55,78,80,50,Pass
96,100,44,47,81,Pass
97,61,53,36,20,Fail
98,74,62,85,25,Pass
99,79,93,50,21,Pass
100,82,83,82,95,Pass
101,80,47,40,51,Fail
102,87,69,95,38,Pass
103,68,90,70,26,Pass
104,64,40,90,33,Pass
105,77,99,87,92,Pass
106,76,46,76,85,Pass
107,54,97,84,56,Pass
108,61,78,88,83,Pass
109,51,97,100,31,Pass
110,85,63,69,42,Pass
111,77,93,67,92,Pass
112,84,50,70,94,Pass
113,72,72,60,43,Pass
114,96,42,56,88,Pass
115,74,43,73,72,Pass
116,63,89,94,86,Pass
117,54,51,72,45,Fail
118,61,66,60,61,Pass
119,62,87,97,71,Pass
120,66,55,51,51,Fail
121,55,93,65,89,Pass
122,79,46,64,93,Pass
123,59,83,86,77,Pass
124,81,60,80,73,Pass
125,60,45,67,74,Pass
126,71,44,36,33,Fail
127,93,57,91,28,Pass
